system,parameter,spec_value,relative_error,value,noise,mmd_p,mmd_detect,ks_p,ks_detect,discriminator_auc,discriminator_p,discriminator_detect,screen_detect,screen_localised,screen_exact,target_generator,target_ratio,target_p
acrobot,m2,1.0,0.0001,1.0001,0.0,0.9999000099990001,False,1.0,False,0.5063898177830685,0.3194200098514557,False,True,energy,True,energy,596267.7105364336,0.0002331002331002331
acrobot,m2,1.0,0.0003,1.0003,0.0,0.9999000099990001,False,1.0,False,0.5064058710502788,0.3189987242221832,False,True,energy,True,energy,1788613.677233101,0.0002331002331002331
acrobot,m2,1.0,0.001,1.001,0.0,0.9999000099990001,False,1.0,False,0.5063058468468914,0.32162728905677795,False,True,energy,True,energy,5959842.739191683,0.0002331002331002331
acrobot,m2,1.0,0.003,1.003,0.0,0.9999000099990001,False,1.0,False,0.5062885587129725,0.32208251953125,False,True,energy,True,energy,17860665.028279826,0.0002331002331002331
acrobot,m2,1.0,0.01,1.01,0.0,0.9997000299970003,False,1.0,False,0.5057872028293267,0.33539795875549316,False,True,energy,True,energy,59315922.95411308,0.0002331002331002331
acrobot,m2,1.0,0.03,1.03,0.0,0.9996000399960004,False,1.0,False,0.504719043126485,0.364448219537735,False,True,energy,True,energy,176078300.65980315,0.0002331002331002331
acrobot,m2,1.0,0.1,1.1,0.0,0.9452054794520548,False,0.5579116991470456,False,0.5011465737388306,0.4664579927921295,False,True,energy,True,energy,565960226.2378311,0.0002331002331002331
acrobot,m2,1.0,0.3,1.3,0.0,0.0143985601439856,False,0.00966441769743528,True,0.9628298946411724,0.0,True,True,energy,True,energy,1554113255.700782,0.0002331002331002331
acrobot,g,9.8,0.0001,9.800980000000001,0.0,0.9999000099990001,False,1.0,False,0.5064280986510316,0.3184158504009247,False,True,energy,True,energy,1140454.0231259624,0.0002331002331002331
acrobot,g,9.8,0.0003,9.80294,0.0,0.9999000099990001,False,1.0,False,0.5064602051854523,0.317574679851532,False,True,energy,True,energy,3421080.633628002,0.0002331002331002331
acrobot,g,9.8,0.001,9.8098,0.0,0.9999000099990001,False,1.0,False,0.5064799630527881,0.3170575201511383,False,True,energy,True,energy,11400321.181286668,0.0002331002331002331
acrobot,g,9.8,0.003,9.8294,0.0,0.9999000099990001,False,1.0,False,0.5064318032511571,0.31831875443458557,False,True,energy,True,energy,34172761.11329936,0.0002331002331002331
acrobot,g,9.8,0.01,9.898000000000001,0.0,0.9997000299970003,False,1.0,False,0.5063552415152308,0.32032811641693115,False,True,energy,True,energy,113576953.15160356,0.0002331002331002331
acrobot,g,9.8,0.03,10.094000000000001,0.0,0.9971002899710029,False,1.0,False,0.5065336797546073,0.3156532645225525,False,True,energy,True,energy,337812579.69754237,0.0002331002331002331
