lam,hidden,n_traj,seed,val_mse,rollout_rmse_final,rollout_rmse_h25,divergence_horizon,divergence_horizon_0.05,divergence_horizon_0.1,divergence_horizon_0.25,divergence_horizon_0.5,divergence_horizon_1,resid_unit-norm_th1,resid_unit-norm_th2,resid_energy,algebraic_score,rho_val_mse,rho_algebraic
0.0,32,10,0,0.0007755436236038804,1.3334525090371845,0.30898580996907815,26.25,5.416666666666667,11.166666666666666,26.25,44.916666666666664,62.0,0.18237041029865214,0.2992357012893968,0.05279446364536287,0.5344005752334118,0.9580110179275854,0.6549046223255245
0.0,32,10,1,0.0016530061839148402,14.56484346007175,1.0198910308896816,19.416666666666668,4.666666666666667,8.083333333333334,19.416666666666668,28.916666666666668,44.083333333333336,0.999157680634813,0.9997446562084771,0.8331458345452574,2.8320481713885473,,
0.0,32,10,2,0.0013699517585337162,1.692382178597214,0.5053654854086462,18.416666666666668,3.5,7.666666666666667,18.416666666666668,38.166666666666664,69.25,0.2112329843537323,0.20361790214213965,0.04259090171797057,0.4574417882138425,,
0.0,32,60,0,4.31844346167054e-05,1.3491975104529306,0.09316717244516813,48.75,13.416666666666666,21.833333333333332,48.75,66.75,83.5,0.17809467229459314,0.6361892860460346,0.20549398077969067,1.0197779391203183,,
0.0,32,60,1,5.2713756304001436e-05,1.0642312247534622,0.20219422537226261,64.75,18.25,34.0,64.75,75.91666666666667,86.16666666666667,0.06067930247232918,0.030954132226060752,0.01650187981763305,0.10813531451602298,,
0.0,32,60,2,4.888529656454921e-05,1.3159160682300028,0.1187212017682005,43.166666666666664,18.0,25.0,43.166666666666664,63.0,80.91666666666667,0.08101190965808905,0.09644892739605707,0.02767065928662873,0.20513149634077485,,
0.0,128,10,0,0.0003054811677429825,1.0690302420567779,0.15259914154508622,48.333333333333336,12.916666666666666,25.166666666666668,48.333333333333336,68.58333333333333,75.33333333333333,0.061490276901487215,0.09398760018285587,0.02422881517752708,0.17970669226187017,,
0.0,128,10,1,0.0003011562512256205,2.111283931512825,0.3743783675764598,33.083333333333336,10.166666666666666,19.0,33.083333333333336,45.333333333333336,72.41666666666667,0.31817749536050977,0.32107740627445785,0.03786012863052694,0.6771150302654946,,
0.0,128,10,2,0.0003814896917901933,1.3270560207609872,0.17442457366257147,36.0,9.583333333333334,19.416666666666668,36.0,58.416666666666664,77.16666666666667,0.07824931496584135,0.14523565965061067,0.02052206259626917,0.24400703721272118,,
0.0,128,60,0,1.7566109818289988e-05,0.7357485873957562,0.05289581492914323,67.5,21.333333333333332,50.416666666666664,67.5,85.33333333333333,87.91666666666667,0.021025688069583395,0.03425679057898729,0.011840533188012082,0.06712301183658277,,
0.0,128,60,1,1.2983006854483392e-05,0.7720741068446038,0.07002266687774046,72.08333333333333,34.5,47.166666666666664,72.08333333333333,81.91666666666667,93.25,0.017731506929867035,0.03873750392324337,0.011008256090518065,0.06747726694362847,,
0.0,128,60,2,1.015682482830016e-05,0.46650991622522625,0.057289073559710774,73.0,28.916666666666668,49.75,73.0,82.66666666666667,90.66666666666667,0.03403571336223388,0.02584427873994585,0.01812564799531704,0.07800564009749676,,
0.001,32,10,0,0.0007749535725452006,1.3485043003598445,0.30857769434178006,26.25,5.416666666666667,11.166666666666666,26.25,45.0,62.0,0.1825951769317637,0.30262527115555987,0.05298890977194476,0.5382093578592684,,
0.001,32,10,1,0.0016531393630430102,14.444708091546504,1.0175347686023428,19.416666666666668,4.666666666666667,8.083333333333334,19.416666666666668,29.083333333333332,44.083333333333336,0.9991364888797599,0.9997400095059993,0.8296965441530887,2.828573042538848,,
0.001,32,10,2,0.0013695687521249056,1.7275710255911356,0.5063094112096795,18.416666666666668,3.5,7.083333333333333,18.416666666666668,38.166666666666664,69.0,0.2140367933137211,0.20730196666837808,0.04245469013424661,0.4637934501163458,,
0.001,32,60,0,4.3097556044813246e-05,1.3345769111387764,0.09303375584903167,49.166666666666664,13.583333333333334,21.833333333333332,49.166666666666664,66.91666666666667,84.16666666666667,0.17725833331833984,0.6347726274606337,0.20348056893461242,1.015511529713586,,
0.001,32,60,1,5.263445564196445e-05,1.0612402783575758,0.20167003522469007,64.91666666666667,18.25,33.916666666666664,64.91666666666667,75.91666666666667,86.16666666666667,0.06017125874680165,0.030853972311122507,0.016381469377324813,0.10740670043524897,,
0.001,32,60,2,4.8802216042531654e-05,1.3204606028701205,0.11897161201012774,43.25,18.0,25.0,43.25,63.083333333333336,80.91666666666667,0.08081279053222444,0.09674780555310754,0.027436095032681476,0.20499669111801344,,
0.001,128,10,0,0.00030570695525966585,1.060437559929171,0.15300575058748014,48.25,13.0,25.25,48.25,68.5,75.25,0.06007536195538082,0.09448539663668305,0.02415282807608026,0.17871358666814413,,
0.001,128,10,1,0.00030145744676701725,2.1253105870766227,0.37519753513466364,31.75,10.166666666666666,18.916666666666668,31.75,45.333333333333336,73.5,0.3130538164484779,0.3184185259838185,0.03740739652720891,0.6688797389595053,,
0.001,128,10,2,0.0003814557276200503,1.3450835631871352,0.17512882008763767,35.916666666666664,9.583333333333334,19.25,35.916666666666664,58.5,77.08333333333333,0.07878661276460047,0.14593237283067975,0.02036738892595549,0.24508637452123572,,
0.001,128,60,0,1.774891461536754e-05,0.6953119723529716,0.05371675064390827,68.25,22.5,50.5,68.25,85.58333333333333,87.83333333333333,0.020681212893655147,0.03419260096515613,0.011608859885762442,0.06648267374457373,,
0.001,128,60,1,1.306592002947582e-05,0.7760022068423876,0.07046104626060672,72.0,34.416666666666664,47.0,72.0,82.0,93.25,0.017581900536232764,0.0387962089160179,0.010994875336100685,0.06737298478835135,,
0.001,128,60,2,1.0078353625431191e-05,0.4369630743201333,0.05655062401697842,71.41666666666667,29.083333333333332,49.0,71.41666666666667,83.41666666666667,90.83333333333333,0.03293917223729536,0.025619391408908582,0.017943350526267263,0.07650191417247121,,
0.01,32,10,0,0.0007683385047130287,1.5110167084415345,0.3007346187609253,26.25,5.5,11.166666666666666,26.25,44.666666666666664,68.25,0.21956373455274192,0.35904158994065294,0.06002719427887168,0.6386325187722666,,
0.01,32,10,1,0.0016613417537882924,14.83581130512473,1.0002560788682437,20.666666666666668,4.75,8.083333333333334,20.666666666666668,31.5,44.166666666666664,0.9986448394240526,0.9996039091771551,0.7795190446477518,2.7777677932489597,,
0.01,32,10,2,0.0013658179668709636,1.743815382613665,0.5147507909730148,17.583333333333332,3.5,7.166666666666667,17.583333333333332,38.083333333333336,67.25,0.22652818611865833,0.2211021946746185,0.041877511922900915,0.48950789271617773,,
0.01,32,60,0,4.24523968831636e-05,1.2651364429246736,0.09134500268285332,45.583333333333336,15.583333333333334,22.25,45.583333333333336,62.333333333333336,85.16666666666667,0.17603464024831114,0.6532549586054371,0.20155187702766714,1.0308414758814155,,
0.01,32,60,1,5.208863512962125e-05,1.0043751149824607,0.19592217485442656,60.666666666666664,19.0,33.416666666666664,60.666666666666664,74.83333333333333,86.16666666666667,0.05644625923637828,0.030393836190235602,0.01558541419960595,0.10242550962621982,,
0.01,32,60,2,4.829160025110468e-05,1.2192018451585225,0.11980975443000393,41.0,17.583333333333332,25.166666666666668,41.0,66.91666666666667,80.58333333333333,0.08023122400254401,0.10042020400017265,0.025107599473856445,0.2057590274765731,,
0.01,128,10,0,0.00030746462289243937,1.0640206863019908,0.15048102057136156,47.75,13.75,26.333333333333332,47.75,64.16666666666667,75.25,0.05478408912427826,0.09753389832005506,0.02453717455580176,0.17685516200013507,,
0.01,128,10,1,0.000295537116471678,2.0949425414532166,0.35791918829837693,33.416666666666664,10.916666666666666,18.583333333333332,33.416666666666664,51.166666666666664,71.91666666666667,0.29765422248081824,0.21512592314549214,0.036878025604205354,0.5496581712305157,,
0.01,128,10,2,0.0003817685937974602,1.2991888855326714,0.18285426648763814,35.416666666666664,9.333333333333334,18.0,35.416666666666664,59.416666666666664,74.5,0.08565272411745646,0.15432925578163662,0.02042816414519792,0.26041014404429097,,
0.01,128,60,0,1.946398515428882e-05,0.7166232975316058,0.06276377721504357,69.75,28.583333333333332,46.25,69.75,85.41666666666667,90.91666666666667,0.028472343783362827,0.03013662954901993,0.015599811090929543,0.0742087844233123,,
0.01,128,60,1,1.3422405572782736e-05,0.9641731506940103,0.07154970019600765,67.91666666666667,33.833333333333336,44.25,67.91666666666667,84.25,93.25,0.01975476743243354,0.03490095786681051,0.011204926930603364,0.06586065222984741,,
0.01,128,60,2,1.039472408592701e-05,0.5273308180850481,0.06077869297264967,69.0,31.416666666666668,49.833333333333336,69.0,84.16666666666667,91.5,0.030030426196772708,0.026887849304138293,0.013796997176546703,0.0707152726774577,,
