condition,seed,total_steps,final_return,auc_return,n_episodes,seconds,curve_8000,curve_16000,curve_24000,curve_32000,curve_40000,curve_48000,curve_56000,curve_64000,curve_72000,curve_80000,curve_88000,curve_96000,curve_104000,curve_112000,curve_120000
randstep_5,3,120000,-101.5,-158.71083333333334,894,103.07677149772644,-472.0625,-236.4,-196.46666666666667,-152.03333333333333,-166.26666666666668,-146.76666666666668,-160.53333333333333,-137.76666666666668,-111.06666666666666,-119.8,-101.63333333333334,-102.23333333333333,-89.03333333333333,-95.1,-93.5
randstep_5,4,120000,-88.0,-124.76222222222222,1129,102.54910659790039,-398.4,-213.7,-143.7,-106.63333333333334,-113.96666666666667,-97.63333333333334,-91.66666666666667,-107.03333333333333,-85.4,-93.13333333333334,-86.26666666666667,-81.8,-80.66666666666667,-83.96666666666667,-87.46666666666667
random_6,0,120000,-85.73333333333333,-112.57417624521074,1129,103.11468124389648,-269.37931034482756,-135.46666666666667,-131.36666666666667,-128.63333333333333,-102.5,-108.16666666666667,-89.93333333333334,-95.36666666666666,-90.93333333333334,-85.16666666666667,-94.2,-95.23333333333333,-90.23333333333333,-88.1,-83.93333333333334
random_6,1,120000,-88.03333333333333,-153.1,1071,102.82040596008301,-500.0,-443.8666666666667,-212.5,-123.36666666666666,-102.26666666666667,-91.86666666666666,-109.3,-97.3,-87.93333333333334,-90.6,-90.93333333333334,-90.86666666666666,-82.83333333333333,-85.8,-87.06666666666666
random_6,2,120000,-83.2,-139.79555555555555,1119,103.49862718582153,-494.0,-330.5,-158.4,-112.1,-99.16666666666667,-93.33333333333333,-88.0,-89.3,-91.7,-94.5,-85.5,-87.23333333333333,-97.03333333333333,-91.83333333333333,-84.33333333333333
random_6,3,120000,-96.96666666666667,-115.37979797979798,1149,103.05716133117676,-351.8636363636364,-146.53333333333333,-120.56666666666666,-99.83333333333333,-96.26666666666667,-90.2,-91.56666666666666,-89.73333333333333,-88.63333333333334,-87.63333333333334,-88.86666666666666,-103.76666666666667,-86.7,-91.93333333333334,-96.6
random_6,4,120000,-82.6,-112.77925925925925,1163,102.8998532295227,-290.8888888888889,-127.46666666666667,-127.3,-133.76666666666668,-102.26666666666667,-95.86666666666666,-108.03333333333333,-90.46666666666667,-88.5,-87.6,-82.93333333333334,-88.86666666666666,-102.6,-83.6,-81.53333333333333
randstep_6,0,120000,-89.86666666666666,-126.2342995169082,1058,103.48941540718079,-343.3478260869565,-177.83333333333334,-170.8,-144.36666666666667,-118.5,-102.8,-95.96666666666667,-96.83333333333333,-101.03333333333333,-91.9,-93.53333333333333,-90.56666666666666,-88.2,-90.06666666666666,-87.76666666666667
randstep_6,1,120000,-86.06666666666666,-122.45888888888888,1131,102.88644647598267,-392.45,-153.73333333333332,-133.73333333333332,-131.46666666666667,-105.66666666666667,-123.33333333333333,-95.6,-93.4,-90.6,-88.5,-87.63333333333334,-84.2,-86.26666666666667,-79.1,-91.2
randstep_6,2,120000,-87.96666666666667,-117.8811695906433,1158,103.25288796424866,-416.6842105263158,-124.7,-104.6,-102.8,-110.7,-100.56666666666666,-88.36666666666666,-95.3,-89.86666666666666,-88.8,-85.7,-99.63333333333334,-82.9,-89.43333333333334,-88.16666666666667
randstep_6,3,120000,-89.56666666666666,-215.92333333333332,837,103.71477174758911,-498.75,-499.3333333333333,-499.9,-430.93333333333334,-210.66666666666666,-142.53333333333333,-116.63333333333334,-116.76666666666667,-114.9,-103.86666666666666,-93.43333333333334,-86.13333333333334,-115.66666666666667,-117.83333333333333,-91.5
randstep_6,4,120000,-85.63333333333334,-115.51047619047618,1122,102.730872631073,-278.85714285714283,-131.9,-121.36666666666666,-114.53333333333333,-111.4,-95.83333333333333,-115.46666666666667,-106.36666666666666,-112.26666666666667,-92.03333333333333,-100.06666666666666,-93.23333333333333,-89.96666666666667,-87.96666666666667,-81.4
random_7,0,120000,-91.03333333333333,-141.9633918128655,1013,103.17378425598145,-402.6842105263158,-310.1666666666667,-170.3,-134.33333333333334,-119.86666666666666,-111.26666666666667,-102.26666666666667,-102.93333333333334,-113.23333333333333,-97.5,-90.73333333333333,-100.23333333333333,-93.7,-90.86666666666666,-89.36666666666666
random_7,1,120000,-91.9,-194.45777777777778,872,102.87251377105713,-500.0,-500.0,-429.6666666666667,-213.16666666666666,-196.16666666666666,-153.33333333333334,-118.6,-120.6,-111.63333333333334,-111.56666666666666,-102.06666666666666,-87.13333333333334,-89.06666666666666,-93.43333333333334,-90.43333333333334
random_7,2,120000,-102.83333333333333,-192.03111111111113,927,102.84741067886353,-500.0,-500.0,-446.3666666666667,-280.73333333333335,-178.6,-118.4,-97.96666666666667,-107.3,-88.26666666666667,-91.06666666666666,-106.56666666666666,-86.5,-94.96666666666667,-90.83333333333333,-92.9
random_7,3,120000,-112.36666666666666,-242.4822222222222,628,103.11569142341614,-500.0,-481.7,-471.8333333333333,-341.46666666666664,-219.36666666666667,-196.7,-192.36666666666667,-182.13333333333333,-205.7,-187.16666666666666,-160.63333333333333,-155.96666666666667,-123.73333333333333,-103.36666666666666,-115.1
random_7,4,120000,-500.0,-500.0,241,103.1851577758789,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
randstep_7,0,120000,-94.86666666666666,-123.5764912280702,1119,102.62053728103638,-419.94736842105266,-178.5,-121.8,-120.4,-98.06666666666666,-106.16666666666667,-91.9,-93.76666666666667,-89.43333333333334,-86.26666666666667,-92.7,-89.5,-85.33333333333333,-89.9,-89.96666666666667
randstep_7,1,120000,-78.0,-202.02222222222224,914,102.69131994247437,-500.0,-500.0,-496.5,-379.3666666666667,-177.46666666666667,-122.96666666666667,-103.03333333333333,-108.76666666666667,-91.43333333333334,-102.7,-85.73333333333333,-87.2,-91.83333333333333,-94.83333333333333,-88.5
randstep_7,2,120000,-89.96666666666667,-138.32444444444445,1073,102.5453040599823,-500.0,-249.96666666666667,-157.8,-119.1,-95.53333333333333,-112.9,-92.5,-109.06666666666666,-98.86666666666666,-94.1,-93.3,-84.63333333333334,-91.86666666666666,-86.66666666666667,-88.56666666666666
randstep_7,3,120000,-81.66666666666667,-180.6022222222222,989,102.64470720291138,-500.0,-500.0,-459.3666666666667,-173.83333333333334,-127.9,-104.6,-102.73333333333333,-97.1,-96.56666666666666,-104.33333333333333,-90.1,-89.23333333333333,-94.0,-84.06666666666666,-85.2
randstep_7,4,120000,-85.2,-116.93008547008549,1089,102.68753385543823,-302.88461538461536,-150.93333333333334,-130.86666666666667,-108.33333333333333,-103.8,-103.93333333333334,-98.6,-95.53333333333333,-94.96666666666667,-105.16666666666667,-103.66666666666667,-86.46666666666667,-92.96666666666667,-91.4,-84.43333333333334
random_8,0,120000,-86.6,-128.00144927536232,1078,103.25074458122253,-344.5217391304348,-210.1,-164.1,-145.63333333333333,-119.7,-111.56666666666666,-106.8,-89.8,-90.7,-85.73333333333333,-91.0,-96.4,-89.56666666666666,-84.13333333333334,-90.26666666666667
random_8,1,120000,-83.36666666666666,-149.58,1013,102.7965440750122,-399.1,-320.8333333333333,-301.73333333333335,-151.2,-120.93333333333334,-108.73333333333333,-101.26666666666667,-89.33333333333333,-85.7,-96.43333333333334,-91.83333333333333,-99.16666666666667,-91.63333333333334,-85.3,-100.5
random_8,2,120000,-87.23333333333333,-184.0118954248366,933,102.93090200424194,-469.4117647058824,-482.6666666666667,-433.26666666666665,-255.3,-125.23333333333333,-142.56666666666666,-102.13333333333334,-95.93333333333334,-94.73333333333333,-101.8,-106.3,-97.96666666666667,-84.73333333333333,-82.3,-85.83333333333333
random_8,3,120000,-88.73333333333333,-147.6822222222222,968,102.68646168708801,-500.0,-216.23333333333332,-184.76666666666668,-146.6,-118.26666666666667,-125.63333333333334,-122.5,-112.6,-120.46666666666667,-103.16666666666667,-100.46666666666667,-101.03333333333333,-89.43333333333334,-88.36666666666666,-85.7
random_8,4,120000,-82.7,-126.33333333333334,1125,102.46643137931824,-436.6666666666667,-160.23333333333332,-133.13333333333333,-121.06666666666666,-110.6,-99.8,-93.93333333333334,-102.6,-100.93333333333334,-89.7,-87.8,-91.2,-92.4,-91.5,-83.43333333333334
randstep_8,0,120000,-94.36666666666666,-145.72888888888886,915,102.51219320297241,-396.3,-191.8,-144.06666666666666,-143.73333333333332,-127.83333333333333,-148.6,-165.26666666666668,-136.03333333333333,-121.53333333333333,-103.76666666666667,-119.4,-100.03333333333333,-104.4,-91.43333333333334,-91.73333333333333
randstep_8,1,120000,-90.53333333333333,-129.84539682539682,1089,103.23093342781067,-380.04761904761904,-226.36666666666667,-148.63333333333333,-142.13333333333333,-114.26666666666667,-106.46666666666667,-94.83333333333333,-91.43333333333334,-101.56666666666666,-88.06666666666666,-98.46666666666667,-88.76666666666667,-82.86666666666666,-87.63333333333334,-96.13333333333334
randstep_8,2,120000,-87.33333333333333,-121.82166666666669,1095,102.90512013435364,-331.9583333333333,-150.86666666666667,-144.83333333333334,-110.16666666666667,-102.0,-112.43333333333334,-121.5,-103.93333333333334,-97.93333333333334,-91.4,-86.16666666666667,-104.43333333333334,-92.8,-91.46666666666667,-85.43333333333334
randstep_8,3,120000,-105.8,-124.05111111111113,1074,102.66483068466187,-319.8333333333333,-172.96666666666667,-136.36666666666667,-149.5,-116.13333333333334,-111.3,-102.2,-107.13333333333334,-89.13333333333334,-83.23333333333333,-95.9,-89.06666666666666,-89.66666666666667,-92.0,-106.33333333333333
randstep_8,4,120000,-87.26666666666667,-212.37333333333333,860,102.7002067565918,-500.0,-500.0,-500.0,-409.06666666666666,-192.3,-120.7,-114.9,-117.9,-129.66666666666666,-108.5,-114.46666666666667,-101.03333333333333,-95.23333333333333,-94.96666666666667,-86.86666666666666
random_9,0,120000,-92.2,-173.85333333333332,866,102.53161716461182,-491.0,-315.4,-185.8,-257.46666666666664,-215.36666666666667,-169.13333333333333,-147.93333333333334,-109.23333333333333,-115.03333333333333,-98.3,-117.0,-107.53333333333333,-94.1,-96.63333333333334,-87.86666666666666
random_9,1,120000,-109.53333333333333,-155.14444444444445,944,102.39128947257996,-485.0,-371.9,-161.33333333333334,-125.93333333333334,-136.56666666666666,-104.43333333333334,-118.83333333333333,-105.7,-107.86666666666666,-104.1,-104.43333333333334,-111.4,-99.6,-95.53333333333333,-94.53333333333333
random_9,2,120000,-88.43333333333334,-136.60544061302681,951,102.93452286720276,-271.44827586206895,-196.43333333333334,-165.4,-175.56666666666666,-159.33333333333334,-146.2,-125.16666666666667,-133.2,-109.83333333333333,-103.1,-94.93333333333334,-96.53333333333333,-90.93333333333334,-92.53333333333333,-88.46666666666667
random_9,3,120000,-90.83333333333333,-180.5113888888889,875,104.01278591156006,-499.9375,-381.4,-231.23333333333332,-270.3666666666667,-194.86666666666667,-155.5,-141.8,-134.83333333333334,-123.6,-95.96666666666667,-103.33333333333333,-91.23333333333333,-90.0,-95.56666666666666,-98.03333333333333
random_9,4,120000,-98.6,-219.00444444444446,848,106.29958939552307,-500.0,-500.0,-500.0,-495.9,-252.83333333333334,-150.2,-112.36666666666666,-97.0,-97.2,-103.76666666666667,-98.86666666666666,-96.43333333333334,-95.96666666666667,-90.43333333333334,-94.1
randstep_9,0,120000,-97.63333333333334,-141.62608187134504,990,102.14150023460388,-417.1578947368421,-260.53333333333336,-187.06666666666666,-125.73333333333333,-125.16666666666667,-113.93333333333334,-105.73333333333333,-102.8,-122.16666666666667,-93.7,-94.6,-90.63333333333334,-98.3,-93.03333333333333,-93.83333333333333
randstep_9,1,120000,-87.86666666666666,-145.0806349206349,1004,102.43283438682556,-372.4761904761905,-237.03333333333333,-238.43333333333334,-165.13333333333333,-145.13333333333333,-147.56666666666666,-115.6,-103.8,-98.5,-99.86666666666666,-97.4,-78.86666666666666,-92.63333333333334,-86.73333333333333,-97.03333333333333
randstep_9,2,120000,-84.26666666666667,-114.05333333333331,1120,101.96901202201843,-188.9,-151.03333333333333,-154.36666666666667,-122.53333333333333,-137.9,-96.86666666666666,-98.4,-92.4,-103.53333333333333,-107.56666666666666,-84.7,-88.06666666666666,-106.46666666666667,-91.83333333333333,-86.23333333333333
randstep_9,3,120000,-101.2,-186.28666666666666,797,104.80634832382202,-500.0,-380.96666666666664,-246.2,-230.16666666666666,-222.46666666666667,-163.06666666666666,-169.1,-120.43333333333334,-119.9,-112.46666666666667,-113.63333333333334,-105.93333333333334,-114.56666666666666,-89.7,-105.7
randstep_9,4,120000,-233.03333333333333,-483.1422222222222,260,105.256760597229,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-487.6666666666667,-259.46666666666664
rnd,0,120000,-84.66666666666667,-125.8822222222222,1093,76.34476923942566,-429.3333333333333,-155.23333333333332,-125.6,-109.66666666666667,-112.56666666666666,-110.26666666666667,-99.5,-93.0,-88.5,-90.56666666666666,-119.26666666666667,-91.86666666666666,-87.33333333333333,-88.1,-87.43333333333334
rnd,1,120000,-91.0,-112.32730158730159,1200,76.34734106063843,-377.4761904761905,-112.46666666666667,-108.53333333333333,-96.63333333333334,-95.1,-94.7,-88.86666666666666,-90.16666666666667,-90.03333333333333,-86.03333333333333,-96.83333333333333,-83.16666666666667,-87.63333333333334,-93.5,-83.76666666666667
rnd,2,120000,-87.26666666666667,-105.21333333333334,1135,76.28340673446655,-173.76666666666668,-123.73333333333333,-119.23333333333333,-103.56666666666666,-107.8,-98.93333333333334,-110.5,-98.0,-109.16666666666667,-93.56666666666666,-94.66666666666667,-84.66666666666667,-82.23333333333333,-90.53333333333333,-87.83333333333333
rnd,3,120000,-83.86666666666666,-120.514126984127,1057,75.67764711380005,-280.67857142857144,-154.53333333333333,-114.43333333333334,-111.06666666666666,-117.2,-110.4,-108.26666666666667,-120.96666666666667,-118.43333333333334,-104.1,-102.13333333333334,-97.13333333333334,-95.53333333333333,-88.4,-84.43333333333334
rnd,4,120000,-82.16666666666667,-126.3227777777778,1071,75.78458833694458,-329.375,-147.2,-129.66666666666666,-122.33333333333333,-119.7,-113.9,-114.33333333333333,-126.0,-126.23333333333333,-118.23333333333333,-101.33333333333333,-95.53333333333333,-83.66666666666667,-85.7,-81.63333333333334
