condition,seed,total_steps,final_return,auc_return,n_episodes,seconds,curve_8000,curve_16000,curve_24000,curve_32000,curve_40000,curve_48000,curve_56000,curve_64000,curve_72000,curve_80000,curve_88000,curve_96000,curve_104000,curve_112000,curve_120000
faulty_m2_1.3,4,120000,-90.5,-87.81555555555558,1323,44.78220891952515,-101.86666666666666,-95.16666666666667,-84.06666666666666,-86.56666666666666,-87.2,-92.73333333333333,-84.96666666666667,-79.03333333333333,-84.93333333333334,-83.43333333333334,-94.13333333333334,-86.76666666666667,-83.73333333333333,-80.66666666666667,-91.96666666666667
faulty_m2_2,0,120000,-92.43333333333334,-89.79777777777778,1309,50.063015937805176,-150.56666666666666,-88.96666666666667,-87.7,-86.46666666666667,-91.26666666666667,-88.96666666666667,-81.36666666666666,-85.93333333333334,-84.3,-81.7,-81.06666666666666,-83.1,-88.03333333333333,-89.4,-78.13333333333334
faulty_m2_2,1,120000,-80.03333333333333,-89.42,1336,46.26487684249878,-123.76666666666667,-99.0,-95.23333333333333,-92.96666666666667,-82.46666666666667,-79.93333333333334,-80.66666666666667,-93.0,-80.76666666666667,-81.76666666666667,-83.7,-87.16666666666667,-87.86666666666666,-87.53333333333333,-85.46666666666667
faulty_m2_2,2,120000,-86.13333333333334,-90.8911111111111,1307,41.902021646499634,-109.23333333333333,-84.4,-94.86666666666666,-90.13333333333334,-82.46666666666667,-83.0,-88.33333333333333,-85.4,-95.93333333333334,-83.33333333333333,-84.3,-87.73333333333333,-108.0,-99.4,-86.83333333333333
faulty_m2_2,3,120000,-94.9,-94.33555555555556,1253,41.949612855911255,-125.46666666666667,-105.16666666666667,-95.23333333333333,-89.36666666666666,-91.43333333333334,-99.73333333333333,-108.7,-86.93333333333334,-89.7,-90.0,-82.26666666666667,-83.7,-84.7,-85.6,-97.03333333333333
faulty_m2_2,4,120000,-92.16666666666667,-89.39555555555556,1318,42.24037480354309,-121.36666666666666,-102.66666666666667,-100.0,-83.8,-90.36666666666666,-87.13333333333334,-92.8,-80.1,-86.73333333333333,-79.93333333333334,-77.73333333333333,-80.86666666666666,-87.5,-85.8,-84.13333333333334
faulty_m2_4,0,120000,-93.63333333333334,-95.93777777777777,1237,51.296441316604614,-151.96666666666667,-108.73333333333333,-102.46666666666667,-90.53333333333333,-89.8,-92.83333333333333,-87.86666666666666,-88.43333333333334,-90.26666666666667,-89.43333333333334,-85.36666666666666,-82.7,-83.06666666666666,-98.46666666666667,-97.13333333333334
faulty_m2_4,1,120000,-81.03333333333333,-96.43333333333334,1241,51.06063795089722,-158.23333333333332,-112.36666666666666,-111.0,-98.8,-93.86666666666666,-89.3,-89.63333333333334,-88.1,-93.46666666666667,-82.03333333333333,-81.06666666666666,-87.16666666666667,-90.33333333333333,-89.46666666666667,-81.66666666666667
faulty_m2_4,2,120000,-88.4,-96.1088888888889,1226,51.27681827545166,-154.9,-107.73333333333333,-104.2,-93.5,-95.8,-100.56666666666666,-94.23333333333333,-92.56666666666666,-91.13333333333334,-89.06666666666666,-89.56666666666666,-82.43333333333334,-83.7,-79.26666666666667,-82.96666666666667
faulty_m2_4,3,120000,-88.76666666666667,-111.39999999999999,1136,50.976980447769165,-231.06666666666666,-126.23333333333333,-118.36666666666666,-110.1,-106.6,-104.23333333333333,-110.5,-83.2,-95.53333333333333,-87.36666666666666,-107.33333333333333,-107.1,-97.26666666666667,-100.46666666666667,-85.63333333333334
faulty_m2_4,4,120000,-88.86666666666666,-102.58000000000001,1206,51.54102039337158,-154.33333333333334,-121.96666666666667,-105.1,-109.13333333333334,-114.36666666666666,-111.03333333333333,-88.33333333333333,-109.56666666666666,-87.0,-86.0,-93.63333333333334,-86.2,-94.4,-88.43333333333334,-89.2
random_0,0,120000,-87.13333333333334,-130.9791919191919,1046,104.03088140487671,-359.95454545454544,-238.1,-155.2,-133.9,-111.43333333333334,-115.13333333333334,-98.2,-109.26666666666667,-99.06666666666666,-107.76666666666667,-88.83333333333333,-90.56666666666666,-85.23333333333333,-87.83333333333333,-84.2
random_0,1,120000,-91.8,-116.06799999999998,1138,104.06573820114136,-317.52,-161.46666666666667,-128.56666666666666,-113.1,-108.86666666666666,-97.5,-88.26666666666667,-87.8,-91.83333333333333,-95.66666666666667,-91.03333333333333,-85.36666666666666,-97.8,-90.33333333333333,-85.9
random_0,2,120000,-85.3,-117.86716049382719,1108,103.55357217788696,-288.74074074074076,-158.16666666666666,-126.26666666666667,-101.9,-101.3,-116.2,-106.1,-89.56666666666666,-100.4,-95.9,-103.2,-103.9,-93.23333333333333,-90.6,-92.53333333333333
random_0,3,120000,-99.8,-129.18031746031747,1020,111.81256198883057,-374.23809523809524,-163.53333333333333,-138.1,-131.4,-122.33333333333333,-109.13333333333334,-124.96666666666667,-116.76666666666667,-99.46666666666667,-91.46666666666667,-99.33333333333333,-89.93333333333334,-95.06666666666666,-92.13333333333334,-89.83333333333333
