dt,N,rel_energy_drift,sigma_14,sigma_15,ratio,dim_tol_1e-10,dim_tol_1e-08,dim_tol_1e-06,dim_tol_0.0001,dim_tol_0.001
0.2,200,0.017346291207960964,6.406350619237212e-17,2.596558652377531e-05,405310106596.4911,14,14,14,15,21
0.05,800,2.1697700516891584e-05,1.0603382611533709e-16,1.5261764122912132e-06,14393297574.975103,14,14,14,16,23
0.01,4000,8.921925497611608e-09,9.148122537509256e-17,4.984610872061588e-10,5448780.174974284,14,15,15,16,23
0.002,20000,9.347455876595996e-12,1.2693850822274765e-16,2.0562497986664994e-13,1619.8786542049618,15,15,15,16,23
