pool,n_models,rho_val_mse,rho_algebraic
all models,84,0.9580110179275854,0.6549046223255245
lambda = 0 only,12,0.9300699300699301,0.7692307692307693
lambda <= 0.1,48,0.9102606077815294,0.8241585427763701
