arm,setting,seed,regime,noise,n_faults,n_detected,n_localised_exact,mean_jaccard,n_controls,n_false_alarms,coeff_deviation,n_generators,dropped
perturbed,1e-03,2,unpaired,0.0,15,14,14,0.9333333333333333,2,0,0.0009830130602140866,,
perturbed,1e-03,2,paired,0.0,15,14,14,0.9333333333333333,2,0,0.0009830130602140866,,
perturbed,1e-03,3,unpaired,0.0,15,14,14,0.9333333333333333,2,0,0.0009830130602140848,,
perturbed,1e-03,3,paired,0.0,15,13,13,0.8666666666666667,2,0,0.0009830130602140848,,
perturbed,1e-03,4,unpaired,0.0,15,13,13,0.8666666666666667,2,0,0.0009830130602140848,,
perturbed,1e-03,4,paired,0.0,15,13,13,0.8666666666666667,2,0,0.0009830130602140848,,
perturbed,1e-02,0,unpaired,0.0,15,9,8,0.5666666666666667,2,0,0.009846011336455424,,
perturbed,1e-02,0,paired,0.0,15,9,8,0.5666666666666667,2,0,0.009846011336455424,,
perturbed,1e-02,1,unpaired,0.0,15,11,10,0.7,2,0,0.009846011336455424,,
perturbed,1e-02,1,paired,0.0,15,11,10,0.7,2,0,0.009846011336455424,,
perturbed,1e-02,2,unpaired,0.0,15,9,9,0.6,2,0,0.009846011336455424,,
perturbed,1e-02,2,paired,0.0,15,10,10,0.6666666666666666,2,0,0.009846011336455424,,
perturbed,1e-02,3,unpaired,0.0,15,8,8,0.5333333333333333,2,0,0.009846011336455424,,
perturbed,1e-02,3,paired,0.0,15,9,9,0.6,2,0,0.009846011336455424,,
perturbed,1e-02,4,unpaired,0.0,15,9,8,0.5666666666666667,2,0,0.009846011336455424,,
perturbed,1e-02,4,paired,0.0,15,10,9,0.6333333333333333,2,0,0.009846011336455424,,
perturbed,1e-01,0,unpaired,0.0,15,5,4,0.3,2,0,0.09963242667310582,,
perturbed,1e-01,0,paired,0.0,15,5,3,0.26666666666666666,2,0,0.09963242667310582,,
perturbed,1e-01,1,unpaired,0.0,15,6,3,0.3,2,0,0.09963242667310582,,
perturbed,1e-01,1,paired,0.0,15,6,3,0.3,2,0,0.09963242667310582,,
perturbed,1e-01,2,unpaired,0.0,15,4,3,0.23333333333333334,2,0,0.09963242667310582,,
perturbed,1e-01,2,paired,0.0,15,4,4,0.26666666666666666,2,0,0.09963242667310582,,
perturbed,1e-01,3,unpaired,0.0,15,5,3,0.26666666666666666,2,0,0.09963242667310582,,
perturbed,1e-01,3,paired,0.0,15,5,3,0.26666666666666666,2,0,0.09963242667310582,,
perturbed,1e-01,4,unpaired,0.0,15,5,4,0.3,2,0,0.09963242667310582,,
perturbed,1e-01,4,paired,0.0,15,5,4,0.3,2,0,0.09963242667310582,,
recovered,0e+00,0,paired,0.0,15,15,15,1.0,2,0,2.4426411634722122e-08,8,
forced,0e+00,0,paired,0.0,15,15,15,1.0,2,0,2.4426411634722122e-08,8,
exact,0e+00,0,paired,0.0,15,15,15,1.0,2,0,0.0,8,
recovered,1e-08,0,paired,1e-08,15,14,14,0.9333333333333333,2,0,1.0165852052829124e-05,7,reacher:dz=0
forced,1e-08,0,paired,1e-08,15,15,14,0.9777777777777777,2,0,1.0165852052829124e-05,8,
exact,1e-08,0,paired,1e-08,15,14,14,0.9333333333333333,2,0,0.0,8,
recovered,1e-06,0,paired,1e-06,15,14,14,0.9333333333333333,2,0,0.0006957724182765418,7,reacher:dz=0
forced,1e-06,0,paired,1e-06,15,15,14,0.9777777777777777,2,0,0.0006957724182765418,8,
exact,1e-06,0,paired,1e-06,15,14,14,0.9333333333333333,2,0,0.0,8,
recovered,1e-04,0,paired,0.0001,15,5,3,0.27777777777777773,2,0,0.0004362394673900172,6,acrobot:energy|reacher:dz=0
forced,1e-04,0,paired,0.0001,15,12,11,0.7777777777777778,2,0,0.9999943228981003,8,
exact,1e-04,0,paired,0.0001,15,13,13,0.8666666666666667,2,0,0.0,8,
