fault_1,value_1,fault_2,value_2,noise,recovered,s_min,s_next,verdict,named_parameter,named_value,named_is_one_of_the_two,single_fault_gap,joint_value_1,joint_value_2,joint_residual,joint_worst_relative_error
m2,1.3,g,9.81,0.0,True,1.7525838965834748e-11,0.0003207825598875559,parameter fault,m2,1.3004988170465646,True,128.4100439500934,1.299999751697676,9.810000685993984,3.245378452005017e-08,1.9100178771935816e-07
m2,1.3,l1,1.2,0.0,True,2.5422429378198173e-11,0.00026494353493557616,not explicable as a parameter fault,l1,1.0965818946304067,True,1.0101293651568362,1.2999999501691724,1.2000000846626624,3.288683635760471e-08,7.055221869685843e-08
lc2,0.6,I2,1.5,0.0,True,1.051223146438729e-11,0.00020586546522415817,not explicable as a parameter fault,m1,0.4762692322825738,False,1.0078070775370656,0.5999999843147972,1.500000012183914,1.8360605397204852e-08,2.6142004672102814e-08
l1,1.2,I2,1.5,0.0,True,7.670068346811597e-12,0.00018867791925261955,not explicable as a parameter fault,m2,0.7075670053270001,False,2.979548124846825,1.2000000372385806,1.5000000115872343,5.988084165217067e-09,3.103215055292689e-08
