tol,N,raw_nullspace,after_groebner,energy_alignment
1e-10,8040,14,0,0.633026301045795
1e-06,8040,14,0,0.633026301045795
0.0001,8040,14,0,0.633026301045795
0.001,8040,14,0,0.633026301045795
