env_id,older,newer,step,separation,steps_per_decade,decades_climbed
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,0,2.220446049250313e-16,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,1,2.220446049250313e-16,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,2,4.440892098500626e-16,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,5,1.7763568394002505e-15,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,10,3.552713678800501e-15,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,20,3.907985046680551e-14,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,50,1.013855666087693e-12,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,100,4.836122613482985e-09,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,200,1.4195353259083276e-05,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,400,0.06433137273550305,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,499,0.036482431963683726,32.400067333948435,14.461982593222483
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,0,2.7755575615628914e-17,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,1,2.220446049250313e-16,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,2,4.440892098500626e-16,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,5,8.881784197001252e-16,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,10,8.881784197001252e-16,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,20,3.019806626980426e-14,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,50,1.0814460438268725e-11,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,100,1.6473018504825632e-09,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,200,2.7596523136885764e-05,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,400,0.0028039098003217466,41.59852836454422,14.004413800110086
InvertedDoublePendulum-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,499,0.0035908236857782327,41.59852836454422,14.004413800110086
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,0,5.551115123125783e-17,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,1,5.551115123125783e-17,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,2,1.1102230246251565e-16,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,5,6.938893903907228e-17,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,10,1.1102230246251565e-16,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,20,5.551115123125783e-17,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,50,5.551115123125783e-17,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,100,5.551115123125783e-17,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,200,5.551115123125783e-17,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,400,5.551115123125783e-17,inf,0.0
Reacher-v4,mj-gymnasium-0.29.1-mujoco-2.3.7,mj-gymnasium-1.0.0-mujoco-3.1.6,499,5.551115123125783e-17,inf,0.0
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,0,0.0,,
