control,mutation,max_abs_diff,generator,residual_ref,residual_test,ratio,pvalue,broken,localised
nips_coriolis,book_or_nips=nips,10.036269664764404,unit-norm th1,1.6935327380742217e-08,1.6825655221867496e-08,0.9935240603025228,1.0,False,energy
nips_coriolis,book_or_nips=nips,10.036269664764404,unit-norm th2,1.6663328128244005e-08,1.6782616161796183e-08,1.0071587159920345,0.7594172165960001,False,energy
nips_coriolis,book_or_nips=nips,10.036269664764404,energy,0.0006852351892459377,0.0028824752165338124,4.206548732130661,1.696626899692783e-06,True,energy
m2_1.3,LINK_MASS_2=1.3,9.6694974899292,unit-norm th1,1.6935327380742217e-08,1.687080261320116e-08,0.9961899309006313,1.0,False,energy
m2_1.3,LINK_MASS_2=1.3,9.6694974899292,unit-norm th2,1.6663328128244005e-08,1.691491097048501e-08,1.0150979948486147,0.25310092399018064,False,energy
m2_1.3,LINK_MASS_2=1.3,9.6694974899292,energy,0.0006852351892459377,0.007921331023878528,11.560017856928074,9.766971451519521e-12,True,energy
l1_rel_0.01,LINK_LENGTH_1=1.01,1.5741608142852783,unit-norm th1,1.6935327380742217e-08,1.68474295073307e-08,0.9948097918962306,1.0,False,-
l1_rel_0.01,LINK_LENGTH_1=1.01,1.5741608142852783,unit-norm th2,1.6663328128244005e-08,1.6523899515742308e-08,0.9916326071581482,1.0,False,-
l1_rel_0.01,LINK_LENGTH_1=1.01,1.5741608142852783,energy,0.0006852351892459377,0.0007372883465866873,1.0759639291117422,0.6842198507217288,False,-
l1_rel_0.001,LINK_LENGTH_1=1.001,0.3139166831970215,unit-norm th1,1.6935327380742217e-08,1.674672793588428e-08,0.9888635489224495,1.0,False,-
l1_rel_0.001,LINK_LENGTH_1=1.001,0.3139166831970215,unit-norm th2,1.6663328128244005e-08,1.66319824768757e-08,0.9981188841072405,1.0,False,-
l1_rel_0.001,LINK_LENGTH_1=1.001,0.3139166831970215,energy,0.0006852351892459377,0.0006873619877436615,1.0031037496776316,1.0,False,-
l1_rel_0.0001,LINK_LENGTH_1=1.0001,0.029222488403320312,unit-norm th1,1.6935327380742217e-08,1.704935925002784e-08,1.0067333725957546,1.0,False,-
l1_rel_0.0001,LINK_LENGTH_1=1.0001,0.029222488403320312,unit-norm th2,1.6663328128244005e-08,1.6921941347251945e-08,1.0155199019678185,0.2469252406836005,False,-
l1_rel_0.0001,LINK_LENGTH_1=1.0001,0.029222488403320312,energy,0.0006852351892459377,0.0006853997747826128,1.0002401883897063,1.0,False,-
l1_rel_1e-05,LINK_LENGTH_1=1.00001,0.002903461456298828,unit-norm th1,1.6935327380742217e-08,1.6956031700423862e-08,1.0012225520780418,1.0,False,-
l1_rel_1e-05,LINK_LENGTH_1=1.00001,0.002903461456298828,unit-norm th2,1.6663328128244005e-08,1.6641021622426796e-08,0.9986613415011975,1.0,False,-
l1_rel_1e-05,LINK_LENGTH_1=1.00001,0.002903461456298828,energy,0.0006852351892459377,0.0006852492823958815,1.0000205668800508,1.0,False,-
