dt,n_steps,param,rel_error,drift_floor,residual_ref,residual_test,ratio,pvalue,broken,localised
0.2,500,LINK_MASS_2,0.3,0.0035535900026434737,0.0006852351892459377,0.007921331023878528,11.560017856928074,9.766971451519521e-12,True,energy
0.2,500,LINK_MASS_2,0.1,0.0035535900026434737,0.0006852351892459377,0.003078114350688629,4.492055281159624,4.570851212598959e-08,True,energy
0.2,500,LINK_MASS_2,0.03,0.0035535900026434737,0.0006852351892459377,0.0012519295415981862,1.8270070790962492,0.0083388153784339,True,energy
0.2,500,LINK_MASS_2,0.01,0.0035535900026434737,0.0006852351892459377,0.0007626466886964422,1.1129707006665719,0.48554057721882016,False,-
0.2,500,LINK_MASS_2,0.003,0.0035535900026434737,0.0006852351892459377,0.0006884439362803303,1.0046826944744676,1.0,False,-
0.2,500,LINK_MASS_2,0.001,0.0035535900026434737,0.0006852351892459377,0.0006842730916753316,0.9985959600649453,1.0,False,-
0.2,500,LINK_LENGTH_1,0.3,0.0035535900026434737,0.0006852351892459377,0.005619786672009507,8.201252300241269,3.927443940731141e-11,True,energy
0.2,500,LINK_LENGTH_1,0.1,0.0035535900026434737,0.0006852351892459377,0.0019212166792676507,2.803733242861973,1.8157041875569884e-06,True,energy
0.2,500,LINK_LENGTH_1,0.03,0.0035535900026434737,0.0006852351892459377,0.0008807542855606103,1.2853313714519394,0.12310058685750191,False,-
0.2,500,LINK_LENGTH_1,0.01,0.0035535900026434737,0.0006852351892459377,0.0007372883465866873,1.0759639291117422,0.6842198507217288,False,-
0.2,500,LINK_LENGTH_1,0.003,0.0035535900026434737,0.0006852351892459377,0.0006946351512902905,1.0137178624096888,1.0,False,-
0.2,500,LINK_LENGTH_1,0.001,0.0035535900026434737,0.0006852351892459377,0.0006873619877436615,1.0031037496776316,1.0,False,-
0.05,2000,LINK_MASS_2,0.3,4.18897811429998e-06,7.605067549068266e-07,0.00805996749415527,10598.153720728931,9.766971451519521e-12,True,energy
0.05,2000,LINK_MASS_2,0.1,4.18897811429998e-06,7.605067549068266e-07,0.0029585757067640333,3890.268807837878,9.766971451519521e-12,True,energy
0.05,2000,LINK_MASS_2,0.03,4.18897811429998e-06,7.605067549068266e-07,0.0008864327159553496,1165.581647021598,9.766971451519521e-12,True,energy
0.05,2000,LINK_MASS_2,0.01,4.18897811429998e-06,7.605067549068266e-07,0.00029590316414459833,389.0868322147262,9.766971451519521e-12,True,energy
0.05,2000,LINK_MASS_2,0.003,4.18897811429998e-06,7.605067549068266e-07,8.875266643109498e-05,116.70200936212395,9.766971451519521e-12,True,energy
0.05,2000,LINK_MASS_2,0.001,4.18897811429998e-06,7.605067549068266e-07,2.9598044035615615e-05,38.918844368768056,9.766971451519521e-12,True,energy
0.05,2000,LINK_LENGTH_1,0.3,4.18897811429998e-06,7.605067549068266e-07,0.005721228893708653,7522.916603692217,9.766971451519521e-12,True,energy
0.05,2000,LINK_LENGTH_1,0.1,4.18897811429998e-06,7.605067549068266e-07,0.0018693819011172837,2458.074026372469,9.766971451519521e-12,True,energy
0.05,2000,LINK_LENGTH_1,0.03,4.18897811429998e-06,7.605067549068266e-07,0.0005541799447861352,728.6982544343482,9.766971451519521e-12,True,energy
0.05,2000,LINK_LENGTH_1,0.01,4.18897811429998e-06,7.605067549068266e-07,0.00018418953100705508,242.19315583807148,9.766971451519521e-12,True,energy
0.05,2000,LINK_LENGTH_1,0.003,4.18897811429998e-06,7.605067549068266e-07,5.521041067637803e-05,72.59687086295786,9.766971451519521e-12,True,energy
0.05,2000,LINK_LENGTH_1,0.001,4.18897811429998e-06,7.605067549068266e-07,1.8411247352627574e-05,24.209183197699836,9.766971451519521e-12,True,energy
0.01,10000,LINK_MASS_2,0.3,1.5194906014415304e-08,1.5116971858019868e-08,0.00806375697342222,533424.0910916447,9.766971451519521e-12,True,energy
0.01,10000,LINK_MASS_2,0.1,1.5194906014415304e-08,1.5116971858019868e-08,0.0029574857065339543,195640.08812816217,9.766971451519521e-12,True,energy
0.01,10000,LINK_MASS_2,0.03,1.5194906014415304e-08,1.5116971858019868e-08,0.0008860105204591299,58610.31751468684,9.766971451519521e-12,True,energy
0.01,10000,LINK_MASS_2,0.01,1.5194906014415304e-08,1.5116971858019868e-08,0.0002959835601731518,19579.553560928696,9.766971451519521e-12,True,energy
0.01,10000,LINK_MASS_2,0.003,1.5194906014415304e-08,1.5116971858019868e-08,8.876018019218182e-05,5871.5582079418045,9.766971451519521e-12,True,energy
0.01,10000,LINK_MASS_2,0.001,1.5194906014415304e-08,1.5116971858019868e-08,2.957477627935367e-05,1956.3955372228622,9.766971451519521e-12,True,energy
0.01,10000,LINK_LENGTH_1,0.3,1.5194906014415304e-08,1.5116971858019868e-08,0.005723589222744371,378620.0885005874,9.766971451519521e-12,True,energy
0.01,10000,LINK_LENGTH_1,0.1,1.5194906014415304e-08,1.5116971858019868e-08,0.0018692920081081782,123655.18872858654,9.766971451519521e-12,True,energy
0.01,10000,LINK_LENGTH_1,0.03,1.5194906014415304e-08,1.5116971858019868e-08,0.0005542322293441574,36662.91334994618,9.766971451519521e-12,True,energy
0.01,10000,LINK_LENGTH_1,0.01,1.5194906014415304e-08,1.5116971858019868e-08,0.00018419870596307023,12184.894414905522,9.766971451519521e-12,True,energy
0.01,10000,LINK_LENGTH_1,0.003,1.5194906014415304e-08,1.5116971858019868e-08,5.520660006619232e-05,3651.961555839245,9.766971451519521e-12,True,energy
0.01,10000,LINK_LENGTH_1,0.001,1.5194906014415304e-08,1.5116971858019868e-08,1.839735068346725e-05,1216.9997309154924,9.766971451519521e-12,True,energy
